AIF	AIF-C_CDD.fasta
Bag	BAG1_CDD.fasta
Bax	BCL2_CDD.fasta
Bcl-w	Bclw_CDD.fasta
CAAP	CAAP1_CDD.fasta
CAD	CIDE_CAD_CDD.fasta
Casp3_6_7_9_2	CARD_CASP2_CDD.fasta  
Casp3_6_7_9_2	DED_Caspase8_r1.fasta
Casp3_6_7_9_2	d00032_CAS8_CAD.fasta
Casp3_6_7_9_2	CARD_CASP9_CDD.fasta
CCAR	DBC1_CCAR.fasta
CD151	CD151_like_LEL.fasta
ceramide	TLC_ceramide.fasta
ceramide	homeodomain_ceramide.fasta
CgBTG1	btg_CDD.fasta
c-jun	JUN_CDD.fasta
CREM	bZIP_CREB1.fasta
cyto-c	cytochrome_c_CDD.fasta
DIAP	BIR_DIAP.fasta
DIAP	UBA_IAPs_CDD_DIAP.fasta
endo_G	NUC_CDD.fasta
FADD	DEATH_FADD.fasta
FADD	DED_FADD_CDD.fasta
FAIM	FAIM1_CDD.fasta
GPCR	7tmB2_GPR133.fasta
GPCR	GPS_CDD.fasta
IAP	BIR_repeat.fasta
ICAD	CIDE_N_ICAD_CDD.fasta
IFI44	IFI44.fasta
IkB	ANK_CDD(IkB).fasta
IP3R	Ins145_P3_CDD.fasta 
JNK	STKc_JNK_CDD.fasta
LITAF	LITAF_CDD.fasta
MEKK:MAPK	MEKK1_CDD.fasta
MyD88	MyD88_CDD.fasta
NFkB	IPT_NKKappaB_CDD.fast
p38\ MAPK	SIK_p38_CDD.fasta
p38\ MAPK	p38_MAPK.fasta
PDCD	IgV_PD1.fasta
PDCD	zf-MYND_PDCD_CDD.fasta
PDRP	Prefoldin_alpha.fasta
PI3	PIK3_CDD.fasta
PKA	STKc_PKA_CDD.fasta
PKC	STKc_nPKC_delta_CDD.fasta
RhoGTP	Cdc42_CDD.fasta
RIP	Death_RIP1 _CDD.fasta
sAC	AcyC_CDD.fasta
TLR	TIR_TLR_CDD.fasta
TNFR	TNFRSF1A_CDD.fasta
TRAF	zf_TRAF_CDD.fasta
TRAF	MATH_TRAF6_CDD.fast
TNF	TNF_CDD.fasta
