  Compare Sequence names             Sd        Sn         S         N      ps      pn     ds      dn     ds/dn     ps/pn
   0    1 XM_022440 XM_022440    7.0000   15.0000  410.3333 1584.6667  0.0171  0.0095 0.0173  0.0095    1.8115    1.8022
   0    2 XM_022440 XM_022440   23.5000   81.5000  403.1667 1561.8333  0.0583  0.0522 0.0607  0.0541    1.1219    1.1170
   0    3 XM_022440 XM_022442   78.5000  117.5000  152.6667  540.3333  0.5142  0.2175 0.8678  0.2568    3.3791    2.3646
   0    4 XM_022440 XM_022446  104.0000  200.0000  242.5000  891.5000  0.4289  0.2243 0.6362  0.2666    2.3865    1.9117
   0    5 XM_022440 XM_022444  156.5000  333.5000  291.0000 1056.0000  0.5378  0.3158 0.9469  0.4100    2.3098    1.7029
   0    6 XM_022440 XM_022441  174.0000  427.0000  268.5000 1018.5000  0.6480  0.4192 1.4967  0.6140    2.4375    1.5457
   0    7 XM_022440 XM_022441  174.0000  427.0000  268.5000 1018.5000  0.6480  0.4192 1.4967  0.6140    2.4375    1.5457
   0    8 XM_022440 XM_022441  174.0000  427.0000  268.5000 1018.5000  0.6480  0.4192 1.4967  0.6140    2.4375    1.5457
   0    9 XM_022440 XM_022447  134.6667  329.3333  214.0000  827.0000  0.6293  0.3982 1.3700  0.5678    2.4127    1.5802
   0   10 XM_022440 XM_022440  159.0000  452.0000  237.0000  903.0000  0.6709  0.5006 1.6869  0.8256    2.0432    1.3403
   0   11 XM_022440 XM_022445  167.8333  493.1667  251.1667  951.8333  0.6682  0.5181 1.6620  0.8804    1.8878    1.2897
   0   12 XM_022440 XM_022435  266.5000  912.5000  379.8333 1531.1667  0.7016  0.5960 2.0558  1.1871    1.7318    1.1773
   0   13 XM_022440 XM_022445  142.0000  361.0000  196.1667  751.8333  0.7239  0.4802 2.5179  0.7667    3.2841    1.5076
   0   14 XM_022440 XM_022446  211.8333  698.1667  312.0000 1242.0000  0.6790  0.5621 1.7675  1.0382    1.7024    1.2078
   0   15 XM_022440 XM_022445  225.3333  715.6667  323.1667 1269.8333  0.6973  0.5636 1.9911  1.0441    1.9070    1.2372
   0   16 XM_022440 XM_022445  143.0000  378.0000  201.0000  756.0000  0.7114  0.5000 2.2259  0.8240    2.7015    1.4229
   0   17 XM_022440 XM_022445  262.3333  796.6667  358.5000 1387.5000  0.7318  0.5742 2.7870  1.0879    2.5618    1.2744
   0   18 XM_022440 XM_022445  256.6667  818.3333  367.3333 1411.6667  0.6987  0.5797 2.0122  1.1119    1.8098    1.2053
   0   19 XM_022440 XM_022479  137.5000  334.5000  190.3333  703.6667  0.7224  0.4754 2.4772  0.7535    3.2876    1.5197
   0   20 XM_022440 XM_022441  279.0000  831.0000  354.5000 1427.5000  0.7870  0.5821    nan  1.1227       nan    1.3520
   0   21 XM_022440 XM_022440  125.8333  382.1667  184.1667  700.8333  0.6833  0.5453 1.8144  0.9739    1.8630    1.2530
   0   22 XM_022440 XM_022446  128.6667  385.3333  184.1667  700.8333  0.6986  0.5498 2.0109  0.9906    2.0299    1.2707
   0   23 XM_022440 XM_022443  216.8333  706.1667  319.1667 1219.8333  0.6794  0.5789 1.7720  1.1084    1.5987    1.1736
   0   24 XM_022440 XM_022443  215.3333  701.6667  317.8333 1215.1667  0.6775  0.5774 1.7524  1.1019    1.5903    1.1733
   0   25 XM_022440 XM_022443  215.3333  699.6667  316.8333 1213.1667  0.6796  0.5767 1.7749  1.0989    1.6151    1.1784
   0   26 XM_022440 XM_022443  210.5000  690.5000  312.5000 1193.5000  0.6736  0.5786 1.7131  1.1068    1.5477    1.1643
   0   27 XM_022440 XM_022443  211.5000  691.5000  312.8333 1196.1667  0.6761  0.5781 1.7378  1.1049    1.5729    1.1695
   0   28 XM_022440 XM_022443  216.8333  702.1667  318.3333 1214.6667  0.6812  0.5781 1.7911  1.1048    1.6213    1.1783
   0   29 XM_022440 XM_022443  215.3333  697.6667  317.0000 1210.0000  0.6793  0.5766 1.7711  1.0983    1.6126    1.1781
   0   30 XM_022440 XM_022443  216.8333  706.1667  319.1667 1219.8333  0.6794  0.5789 1.7720  1.1084    1.5987    1.1736
   0   31 XM_022440 XM_022443  215.3333  701.6667  317.8333 1215.1667  0.6775  0.5774 1.7524  1.1019    1.5903    1.1733
