Chromosome,CHR,feature,start,end,geneID,name,XM_value
NC_035781.1,chr2,exon,42709079,42709107,LOC111120314,GTPase IMAP family member 8-like,XM_022461041.1
NC_035781.1,chr2,exon,42706611,42707221,LOC111120314,GTPase IMAP family member 8-like,XM_022461041.1
NC_035781.1,chr2,exon,42704802,42706117,LOC111120314,GTPase IMAP family member 8-like,XM_022461041.1
NC_035781.1,chr2,exon,42709196,42709297,LOC111119582,GTPase IMAP family member 4-like,XM_022459878.1
NC_035781.1,chr2,exon,42714421,42714483,LOC111119582,GTPase IMAP family member 4-like,XM_022459878.1
NC_035781.1,chr2,exon,42752018,42752089,LOC111119582,GTPase IMAP family member 4-like,XM_022459878.1
NC_035781.1,chr2,exon,42752562,42752624,LOC111119582,GTPase IMAP family member 4-like,XM_022459878.1
NC_035781.1,chr2,exon,42753688,42753765,LOC111119582,GTPase IMAP family member 4-like,XM_022459878.1
NC_035781.1,chr2,exon,42754913,42755014,LOC111119582,GTPase IMAP family member 4-like,XM_022459878.1
NC_035781.1,chr2,exon,42756149,42756217,LOC111119582,GTPase IMAP family member 4-like,XM_022459878.1
NC_035781.1,chr2,exon,42756616,42756723,LOC111119582,GTPase IMAP family member 4-like,XM_022459878.1
NC_035781.1,chr2,exon,42756835,42757768,LOC111119582,GTPase IMAP family member 4-like,XM_022459878.1
NC_035781.1,chr2,exon,42709196,42709297,LOC111119582,GTPase IMAP family member 4-like,XM_022459880.1
NC_035781.1,chr2,exon,42714421,42714483,LOC111119582,GTPase IMAP family member 4-like,XM_022459880.1
NC_035781.1,chr2,exon,42715018,42715083,LOC111119582,GTPase IMAP family member 4-like,XM_022459880.1
NC_035781.1,chr2,exon,42716700,42716756,LOC111119582,GTPase IMAP family member 4-like,XM_022459880.1
NC_035781.1,chr2,exon,42717190,42717297,LOC111119582,GTPase IMAP family member 4-like,XM_022459880.1
NC_035781.1,chr2,exon,42718127,42718189,LOC111119582,GTPase IMAP family member 4-like,XM_022459880.1
NC_035781.1,chr2,exon,42718566,42718673,LOC111119582,GTPase IMAP family member 4-like,XM_022459880.1
NC_035781.1,chr2,exon,42718778,42719826,LOC111119582,GTPase IMAP family member 4-like,XM_022459880.1
NC_035781.1,chr2,exon,42709207,42709297,LOC111119582,GTPase IMAP family member 4-like,XM_022459879.1
NC_035781.1,chr2,exon,42752018,42752089,LOC111119582,GTPase IMAP family member 4-like,XM_022459879.1
NC_035781.1,chr2,exon,42752562,42752624,LOC111119582,GTPase IMAP family member 4-like,XM_022459879.1
NC_035781.1,chr2,exon,42753688,42753765,LOC111119582,GTPase IMAP family member 4-like,XM_022459879.1
NC_035781.1,chr2,exon,42754913,42755014,LOC111119582,GTPase IMAP family member 4-like,XM_022459879.1
NC_035781.1,chr2,exon,42756149,42756217,LOC111119582,GTPase IMAP family member 4-like,XM_022459879.1
NC_035781.1,chr2,exon,42756616,42756723,LOC111119582,GTPase IMAP family member 4-like,XM_022459879.1
NC_035781.1,chr2,exon,42756835,42757768,LOC111119582,GTPase IMAP family member 4-like,XM_022459879.1
NC_035781.1,chr2,exon,42746900,42747053,LOC111119582,GTPase IMAP family member 4-like,XM_022459877.1
NC_035781.1,chr2,exon,42750340,42750402,LOC111119582,GTPase IMAP family member 4-like,XM_022459877.1
NC_035781.1,chr2,exon,42752018,42752089,LOC111119582,GTPase IMAP family member 4-like,XM_022459877.1
NC_035781.1,chr2,exon,42752562,42752624,LOC111119582,GTPase IMAP family member 4-like,XM_022459877.1
NC_035781.1,chr2,exon,42753688,42753765,LOC111119582,GTPase IMAP family member 4-like,XM_022459877.1
NC_035781.1,chr2,exon,42754913,42755014,LOC111119582,GTPase IMAP family member 4-like,XM_022459877.1
NC_035781.1,chr2,exon,42756149,42756217,LOC111119582,GTPase IMAP family member 4-like,XM_022459877.1
NC_035781.1,chr2,exon,42756616,42756723,LOC111119582,GTPase IMAP family member 4-like,XM_022459877.1
NC_035781.1,chr2,exon,42756835,42757768,LOC111119582,GTPase IMAP family member 4-like,XM_022459877.1
NC_035781.1,chr2,exon,42746900,42747053,LOC111119582,GTPase IMAP family member 4-like,XM_022459882.1
NC_035781.1,chr2,exon,42750340,42750402,LOC111119582,GTPase IMAP family member 4-like,XM_022459882.1
NC_035781.1,chr2,exon,42752018,42752089,LOC111119582,GTPase IMAP family member 4-like,XM_022459882.1
NC_035781.1,chr2,exon,42753688,42753765,LOC111119582,GTPase IMAP family member 4-like,XM_022459882.1
NC_035781.1,chr2,exon,42756149,42756217,LOC111119582,GTPase IMAP family member 4-like,XM_022459882.1
NC_035781.1,chr2,exon,42756616,42756723,LOC111119582,GTPase IMAP family member 4-like,XM_022459882.1
NC_035781.1,chr2,exon,42756835,42757768,LOC111119582,GTPase IMAP family member 4-like,XM_022459882.1
