GENE_ID	
LOC111120314	3
LOC111120314	
LOC111120314	
LOC111119582	48
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119582	
LOC111119581	3
LOC111119581	
LOC111119581	
LOC111129932	9
LOC111129932	
LOC111129932	
LOC111129932	
LOC111129932	
LOC111129932	
LOC111129932	
LOC111129932	
LOC111129932	
LOC111129930	9
LOC111129930	
LOC111129930	
LOC111129930	
LOC111129930	
LOC111129930	
LOC111129930	
LOC111129930	
LOC111129930	
LOC111130155	9
LOC111130155	
LOC111130155	
LOC111130155	
LOC111130155	
LOC111130155	
LOC111130155	
LOC111130155	
LOC111130155	
LOC111130153	11
LOC111130153	
LOC111130153	
LOC111130153	
LOC111130153	
LOC111130153	
LOC111130153	
LOC111130153	
LOC111130153	
LOC111130153	
LOC111130153	
LOC111132212	2
LOC111132212	
LOC111100020	9
LOC111100020	
LOC111100020	
LOC111100020	
LOC111100020	
LOC111100020	
LOC111100020	
LOC111100020	
LOC111100020	
LOC111102552	4
LOC111102552	
LOC111102552	
LOC111102552	
LOC111103040	8
LOC111103040	
LOC111103040	
LOC111103040	
LOC111103040	
LOC111103040	
LOC111103040	
LOC111103040	
LOC111105336	4
LOC111105336	
LOC111105336	
LOC111105336	
LOC111105335	4
LOC111105335	
LOC111105335	
LOC111105335	
LOC111105339	8
LOC111105339	
LOC111105339	
LOC111105339	
LOC111105339	
LOC111105339	
LOC111105339	
LOC111105339	
LOC111105333	43
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111105333	
LOC111103458	4
LOC111103458	
LOC111103458	
LOC111103458	
LOC111103460	3
LOC111103460	
LOC111103460	
LOC111104840	12
LOC111104840	
LOC111104840	
LOC111104840	
LOC111104840	
LOC111104840	
LOC111104840	
LOC111104840	
LOC111104840	
LOC111104840	
LOC111104840	
LOC111104840	
LOC111103161	3
LOC111103161	
LOC111103161	
LOC111108760	6
LOC111108760	
LOC111108760	
LOC111108760	
LOC111108760	
LOC111108760	
LOC111106989	29
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111106989	
LOC111110635	3
LOC111110635	
LOC111110635	
LOC111106328	4
LOC111106328	
LOC111106328	
LOC111106328	
LOC111106343	4
LOC111106343	
LOC111106343	
LOC111106343	
LOC111109878	5
LOC111109878	
LOC111109878	
LOC111109878	
LOC111109878	
LOC111105744	4
LOC111105744	
LOC111105744	
LOC111105744	
LOC111108559	2
LOC111108559	
LOC111109668	3
LOC111109668	
LOC111109668	
LOC111109667	7
LOC111109667	
LOC111109667	
LOC111109667	
LOC111109667	
LOC111109667	
LOC111109667	
LOC111108253	4
LOC111108253	
LOC111108253	
LOC111108253	
LOC111110321	6
LOC111110321	
LOC111110321	
LOC111110321	
LOC111110321	
LOC111110321	
LOC111109557	8
LOC111109557	
LOC111109557	
LOC111109557	
LOC111109557	
LOC111109557	
LOC111109557	
LOC111109557	
LOC111108220	2
LOC111108220	
LOC111105930	1
LOC111109343	1
LOC111109344	1
LOC111106079	1
LOC111106081	3
LOC111106081	
LOC111106081	
LOC111109357	3
LOC111109357	
LOC111109357	
LOC111109358	3
LOC111109358	
LOC111109358	
LOC111109853	2
LOC111109853	
LOC111109737	2
LOC111109737	
LOC111108121	80
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111108121	
LOC111107002	4
LOC111107002	
LOC111107002	
LOC111107002	
LOC111110115	3
LOC111110115	
LOC111110115	
LOC111111775	12
LOC111111775	
LOC111111775	
LOC111111775	
LOC111111775	
LOC111111775	
LOC111111775	
LOC111111775	
LOC111111775	
LOC111111775	
LOC111111775	
LOC111111775	
LOC111113702	9
LOC111113702	
LOC111113702	
LOC111113702	
LOC111113702	
LOC111113702	
LOC111113702	
LOC111113702	
LOC111113702	
LOC111115664	5
LOC111115664	
LOC111115664	
LOC111115664	
LOC111115664	
LOC111112005	3
LOC111112005	
LOC111112005	
LOC111111454	3
LOC111111454	
LOC111111454	
LOC111115902	2
LOC111115902	
LOC111110875	5
LOC111110875	
LOC111110875	
LOC111110875	
LOC111110875	
LOC111111241	62
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
LOC111111241	
